region,commodity,date,lag1,lag3,roll3_mean,price_sll_lead6
Eastern,Fish (bonga),2013-02-01,9.044926634333336,7.196184572,8.252834792444446,9.2077975735
Eastern,Fish (bonga),2013-03-01,9.524146228,8.517393171,9.028822011111112,9.0918538625
Eastern,Fish (bonga),2013-04-01,8.42916821,9.044926634333336,8.999413690777779,9.2063012
Eastern,Fish (bonga),2013-05-01,8.50542016,9.524146228,8.819578199333334,8.6853085845
Eastern,Fish (bonga),2013-06-01,9.500079577,8.42916821,8.811555982333333,8.925695278500001
Eastern,Fish (bonga),2013-07-01,9.391421994,8.50542016,9.132307243666666,8.918685273666666
Eastern,Fish (bonga),2013-09-01,9.204083542,9.500079577,9.365195037666666,9.255925417
Eastern,Fish (bonga),2013-10-01,9.2077975735,9.391421994,9.267767703166667,8.661546144999999
Eastern,Fish (bonga),2014-01-01,9.0918538625,9.204083542,9.167911659333335,8.399634131
Eastern,Fish (bonga),2014-02-01,9.2063012,9.2077975735,9.168650878666668,9.022676454
Eastern,Fish (bonga),2014-03-01,8.6853085845,9.0918538625,8.994487882333333,8.217357563
Eastern,Fish (bonga),2014-04-01,8.925695278500001,9.2063012,8.939101687666666,8.4393484
Eastern,Fish (bonga),2014-05-01,8.918685273666666,8.6853085845,8.843229712222223,9.210440367
Eastern,Fish (bonga),2014-06-01,9.255925417,8.925695278500001,9.033435323055556,9.047505478333331
Eastern,Fish (bonga),2014-07-01,8.661546144999999,8.918685273666666,8.945385611888888,9.057655284
Eastern,Fish (bonga),2014-08-01,8.399634131,9.255925417,8.772368564333332,9.161655252
Eastern,Fish (bonga),2014-11-01,9.022676454,8.661546144999999,8.694618909999999,9.1883577075
Eastern,Fish (bonga),2014-12-01,8.217357563,8.399634131,8.546556049333333,9.254112989
Eastern,Fish (bonga),2015-01-01,8.4393484,9.022676454,8.559794139,9.0821911985
Eastern,Fish (bonga),2015-02-01,9.210440367,8.217357563,8.62238211,9.652202748666664
Eastern,Fish (bonga),2016-06-01,9.047505478333331,8.4393484,8.899098081777778,9.584226340666667
Eastern,Fish (bonga),2016-07-01,9.057655284,9.210440367,9.105200376444444,9.374636658499998
Eastern,Fish (bonga),2016-08-01,9.161655252,9.047505478333331,9.088938671444444,9.633024391333334
Eastern,Fish (bonga),2016-09-01,9.1883577075,9.057655284,9.1358894145,9.911966444
Eastern,Fish (bonga),2016-10-01,9.254112989,9.161655252,9.201375316166667,9.809254243000002
Eastern,Fish (bonga),2016-11-01,9.0821911985,9.1883577075,9.174887298333333,9.700316496
Eastern,Fish (bonga),2016-12-01,9.652202748666664,9.254112989,9.329502312055554,9.700316496
Eastern,Fish (bonga),2017-01-01,9.584226340666667,9.0821911985,9.439540095944444,9.746704286
Eastern,Fish (bonga),2017-02-01,9.374636658499998,9.652202748666664,9.537021915944443,9.780576720666666
Eastern,Fish (bonga),2017-03-01,9.633024391333334,9.584226340666667,9.530629130166666,9.699896346
Eastern,Fish (bonga),2017-04-01,9.911966444,9.374636658499998,9.639875831277777,9.6052014475
Eastern,Fish (bonga),2017-05-01,9.809254243000002,9.633024391333334,9.784748359444444,9.518412964
Eastern,Fish (bonga),2017-06-01,9.700316496,9.911966444,9.807179061,9.728419624
Eastern,Fish (bonga),2017-07-01,9.700316496,9.809254243000002,9.736629078333332,9.5435579085
Eastern,Fish (bonga),2017-08-01,9.746704286,9.700316496,9.715779092666667,9.420196029
Eastern,Fish (bonga),2017-09-01,9.780576720666666,9.700316496,9.74253250088889,9.665357259
Eastern,Fish (bonga),2017-10-01,9.699896346,9.746704286,9.742392450888888,9.698925564
Eastern,Fish (bonga),2017-11-01,9.6052014475,9.780576720666666,9.695224838055553,9.86271764
Eastern,Fish (bonga),2017-12-01,9.518412964,9.699896346,9.607836919166665,9.929802964333334
Eastern,Fish (bonga),2018-01-01,9.728419624,9.6052014475,9.617344678500002,9.928140485
Eastern,Fish (bonga),2018-02-01,9.5435579085,9.518412964,9.596796832166667,9.878221025
Eastern,Fish (bonga),2018-03-01,9.420196029,9.728419624,9.564057853833335,9.890959402
Eastern,Fish (bonga),2018-04-01,9.665357259,9.5435579085,9.5430370655,10.046942111
Eastern,Fish (bonga),2018-05-01,9.698925564,9.420196029,9.594826284,9.994947874666666
Eastern,Fish (bonga),2018-06-01,9.86271764,9.665357259,9.742333487666667,10.0779772575
Eastern,Fish (bonga),2018-07-01,9.929802964333334,9.698925564,9.83048205611111,10.088037935333332
Eastern,Fish (bonga),2018-08-01,9.928140485,9.86271764,9.906887029777778,10.088037935333332
Eastern,Fish (bonga),2018-09-01,9.878221025,9.929802964333334,9.912054824777778,10.056269085333334
Eastern,Fish (bonga),2018-10-01,9.890959402,9.928140485,9.899106970666667,10.1266711
Eastern,Fish (bonga),2018-11-01,10.046942111,9.878221025,9.938707512666667,10.098127885
Eastern,Fish (bonga),2018-12-01,9.994947874666666,9.890959402,9.977616462555554,10.098127885
Eastern,Fish (bonga),2019-01-01,10.0779772575,10.046942111,10.039955747722223,10.220984506666666
Eastern,Fish (bonga),2019-02-01,10.088037935333332,9.994947874666666,10.053654355833332,10.43414521
Eastern,Fish (bonga),2019-03-01,10.088037935333332,10.0779772575,10.084684376055556,10.413937616666669
Eastern,Fish (bonga),2019-04-01,10.056269085333334,10.088037935333332,10.077448318666667,10.44863856
Eastern,Fish (bonga),2019-05-01,10.1266711,10.088037935333332,10.090326040222221,10.46313191
Eastern,Fish (bonga),2019-06-01,10.098127885,10.056269085333334,10.093689356777778,10.49130199
