region,commodity,date,lag1,lag3,roll3_mean,price_sll_lead1,,
Eastern,Fish (bonga),9/1/2021,15400,9.42346828,9.537865512,9.473881787,,
Eastern,Fish (bonga),10/1/2023,17300,9.770013301,9.629371033,9.031189452,,
Eastern,Fish (bonga),11/1/2023,17857,9.420114956,9.530660528,9.37734115,,
Eastern,Fish (bonga),12/1/2023,12334,9.697984841,9.401018693,9.726936015,,
Eastern,Fish (bonga),1/1/2024,16100,9.473881787,9.294137463,9.829757552,,
Eastern,Fish (bonga),2/1/2024,11500,9.031189452,9.378488872,9.704339355,,
Eastern,Fish (bonga),4/1/2024,16787,9.37734115,9.644678239,9.874902285,,
Eastern,Fish (bonga),5/1/2024,16500,9.726936015,9.753677641,9.767484158,,
Eastern,Fish (bonga),6/1/2024,11800,9.829757552,9.80299973,9.604239491,,
Eastern,Fish (bonga),7/1/2024,12334,9.704339355,9.782241933,9.313462685,,
Eastern,Fish (bonga),8/1/2024,15761,9.874902285,9.748875311,9.288684715,,
Eastern,Fish (bonga),9/1/2024,17950,9.767484158,9.561728778,9.364227523,,
Eastern,Oil (palm),5/1/2012,14800,8.891328485,9.015728756,9.279527707,,
Eastern,Oil (palm),6/1/2012,19200,8.731525459,8.869578163,8.881547665,,
Eastern,Oil (palm),7/1/2012,22000,9.424332325,9.052245579,8.170179177,,
Eastern,Oil (palm),8/1/2012,18300,8.452876706,8.871317359,8.06490963,,
Eastern,Oil (palm),9/1/2012,21500,9.279527707,8.777084849,7.907426601,,
Eastern,Oil (palm),10/1/2012,24500,8.881547665,8.372212157,7.714701955,,
Eastern,Oil (palm),11/1/2012,17150,8.170179177,8.047505136,7.46242333,,
Eastern,Oil (palm),12/1/2012,19500,8.06490963,7.895679395,9.280841517,,
Eastern,Oil (palm),1/1/2013,19750,7.907426601,7.694850628,8.993239456,,
Eastern,Oil (palm),2/1/2013,24500,7.714701955,8.152655601,8.630497476,,
Eastern,Oil (palm),3/1/2013,21750,7.46242333,8.578834768,8.608305751,,
Eastern,Oil (palm),4/1/2013,24500,9.280841517,8.968192816,8.528380343,,
Eastern,Oil (palm),5/1/2013,19750,8.993239456,8.744014227,8.511358298,,
Eastern,Oil (palm),6/1/2013,21750,8.630497476,8.58906119,8.541783493,,
Eastern,Oil (palm),7/1/2013,27000,8.608305751,8.54934813,8.244605249,,
Eastern,Oil (palm),8/1/2013,21000,8.528380343,8.527174044,8.731945454,,
Eastern,Oil (palm),9/1/2013,27500,8.511358298,8.432582346,9.00773306,,
Eastern,Oil (palm),10/1/2013,23000,8.541783493,8.506111399,8.136222686,,
Eastern,Oil (palm),11/1/2013,22000,8.244605249,8.661427921,7.791012825,,
Eastern,Oil (palm),12/1/2013,27500,8.731945454,8.6253004,8.541559281,,
Eastern,Oil (palm),1/1/2014,23000,9.00773306,8.31165619,8.675060049,,
Eastern,Oil (palm),2/1/2014,22000,8.136222686,8.15626493,8.517393171,,
Eastern,Oil (palm),3/1/2014,25000,7.791012825,8.335877385,8.443521071,,
Eastern,Oil (palm),4/1/2014,23000,8.541559281,8.578004167,8.574046802,,
Eastern,Oil (palm),5/1/2014,22000,8.675060049,8.545324764,8.393553882,,
Eastern,Oil (palm),6/1/2014,25000,8.517393171,8.511653681,8.458513651,,
Eastern,Oil (palm),7/1/2014,25974,8.443521071,8.470373918,8.598621466,,
Eastern,Oil (palm),8/1/2014,22727,8.574046802,8.475371445,8.525128185,,
Eastern,Oil (palm),9/1/2014,25974,8.393553882,8.483563,8.325889706,,
Eastern,Oil (palm),10/1/2014,22727,8.458513651,8.527421101,8.394573732,,
Eastern,Oil (palm),11/1/2014,29000,8.598621466,8.483213119,8.528389917,,
Eastern,Oil (palm),12/1/2014,27500,8.525128185,8.415197208,8.001418946,,
Eastern,Oil (palm),1/1/2015,26000,8.325889706,8.416284451,8.565139011,,
Eastern,Oil (palm),2/1/2015,34000,8.394573732,8.308127531,8.439367258,,
Eastern,Oil (palm),3/1/2015,34000,8.528389917,8.364982624,8.479250046,,
Eastern,Oil (palm),4/1/2015,34000,8.001418946,8.335308405,8.560410104,,
Eastern,Oil (palm),5/1/2015,34000,8.565139011,8.494585438,8.535313553,,
Eastern,Oil (palm),6/1/2015,32000,8.439367258,8.493009136,8.520733682,,
Eastern,Oil (palm),7/1/2015,35000,8.479250046,8.524991234,8.505911631,,
Eastern,Oil (palm),8/1/2015,34000,8.560410104,8.538819113,8.490834296,,
Eastern,Oil (palm),9/1/2015,35000,8.535313553,8.520652955,8.475496119,,
Eastern,Oil (palm),10/1/2015,36000,8.520733682,8.505826536,8.459884854,,
Eastern,Oil (palm),11/1/2015,36000,8.505911631,8.490747348,8.443987487,,
Eastern,Oil (palm),12/1/2015,35000,8.490834296,8.475405089,8.427796722,,
Eastern,Oil (palm),1/1/2016,36000,8.475496119,8.459789486,8.411298121,,
Eastern,Oil (palm),2/1/2016,36000,8.459884854,8.443889687,8.394476267,,
Eastern,Oil (palm),3/1/2016,35000,8.443987487,8.42769411,8.377321584,,
Eastern,Oil (palm),4/1/2016,36000,8.427796722,8.41119037,8.359814445,,
Eastern,Oil (palm),5/1/2016,36000,8.411298121,8.394365324,8.709148226,,
Eastern,Oil (palm),6/1/2016,39000,8.394476267,8.377204099,8.72804321,,
Eastern,Oil (palm),7/1/2016,37000,8.377321584,8.482094751,8.727253525,,
Eastern,Oil (palm),8/1/2016,41500,8.359814445,8.59900196,8.709148226,,
Eastern,Oil (palm),9/1/2016,39000,8.709148226,8.721481653,8.868542647,,
Eastern,Oil (palm),10/1/2016,37000,8.72804321,8.721481653,8.891498771,,
Eastern,Oil (palm),11/1/2016,41500,8.727253525,8.768314799,8.893489279,,
Eastern,Oil (palm),12/1/2016,166667,8.709148226,8.823063215,8.92711597,,
Eastern,Oil (palm),1/1/2017,83333,8.868542647,8.884510233,8.977144181,,
Eastern,Oil (palm),2/1/2017,75000,8.891498771,8.904034673,8.993504545,,
Eastern,Oil (palm),3/1/2017,83333,8.893489279,8.932583143,8.889432987,,
Eastern,Oil (palm),4/1/2017,75000,8.92711597,8.965921565,8.894987761,,
Eastern,Oil (palm),5/1/2017,83333,8.977144181,8.953360571,8.996992433,,
Eastern,Oil (palm),6/1/2017,75000,8.993504545,8.925975098,8.982415841,,
Eastern,Oil (palm),7/1/2017,83333,8.889432987,8.927137727,8.866222388,,
Eastern,Oil (palm),8/1/2017,75000,8.894987761,8.958132011,8.90059215,,
Eastern,Oil (palm),9/1/2017,83333,8.996992433,8.948543554,8.934813272,,
Eastern,Oil (palm),10/1/2017,83333,8.982415841,8.916410126,8.989706458,,
Eastern,Oil (palm),11/1/2017,75000,8.866222388,8.900542603,8.907144367,,
Eastern,Oil (palm),12/1/2017,83333,8.90059215,8.94170396,8.858110496,,
Eastern,Oil (palm),1/1/2018,142857,8.934813272,8.943888032,8.934813272,,
Eastern,Oil (palm),2/1/2018,133333,8.989706458,8.91832044,8.85138889,,
Eastern,Oil (palm),3/1/2018,90909,8.907144367,8.900022712,8.907620987,,
Eastern,Oil (palm),4/1/2018,83333,8.858110496,8.881437553,8.874983041,,
Eastern,Oil (palm),5/1/2018,136364,8.934813272,8.897941049,8.853808275,,
Eastern,Oil (palm),6/1/2018,83333,8.85138889,8.877997639,8.900316626,,
Eastern,Oil (palm),7/1/2018,100000,8.907620987,8.878804101,8.909324966,,
Eastern,Oil (palm),8/1/2018,100000,8.874983041,8.876369314,8.937568358,,
Eastern,Oil (palm),9/1/2018,100000,8.853808275,8.887816622,8.944956725,,
Eastern,Oil (palm),10/1/2018,100000,8.900316626,8.91573665,8.952996487,,
Eastern,Oil (palm),11/1/2018,100000,8.909324966,8.930616683,8.969010353,,
Eastern,Oil (palm),12/1/2018,111111,8.937568358,8.945173857,9.013941293,,
Eastern,Oil (palm),1/1/2019,83333,8.944956725,8.955654522,9.013941293,,
Eastern,Oil (palm),2/1/2019,29412,8.952996487,8.978649377,9.013941293,,
Eastern,Oil (palm),3/1/2019,103093,8.969010353,8.998964313,9.013941293,,
Eastern,Oil (palm),4/1/2019,83333,9.013941293,9.013941293,9.066989709,,
Eastern,Oil (palm),5/1/2019,84746,9.013941293,9.013941293,9.066989709,,
Eastern,Oil (palm),6/1/2019,55556,9.013941293,9.031624098,9.159152335,,
Eastern,Oil (palm),7/1/2019,83333,9.013941293,9.049306903,9.159152335,,
Eastern,Oil (palm),8/1/2019,117647,9.066989709,9.097710584,9.159152335,,
Eastern,Oil (palm),9/1/2019,83333,9.066989709,9.12843146,9.159152335,,
Eastern,Oil (palm),10/1/2019,90909,9.159152335,9.159152335,9.159152335,,
Eastern,Oil (palm),11/1/2019,90909,9.159152335,9.159152335,9.159152335,,
Eastern,Oil (palm),12/1/2019,90909,9.159152335,9.159152335,9.242963969,,
Eastern,Oil (palm),1/1/2020,90909,9.159152335,9.159152335,9.242963969,,
Eastern,Oil (palm),2/1/2020,13333,9.159152335,9.187089546,9.499644842,,
Eastern,Oil (palm),3/1/2020,5000,9.159152335,9.215026758,9.476025246,,
Eastern,Oil (palm),4/1/2020,13140,9.242963969,9.32852426,9.056145499,,
Eastern,Oil (palm),5/1/2020,4632,9.242963969,9.406211352,9.254685887,,
Eastern,Oil (palm),6/1/2020,10000,9.499644842,9.343938529,9.280411027,,
Eastern,Oil (palm),7/1/2020,13685,9.476025246,9.262285544,9.280377667,,
Eastern,Oil (palm),8/1/2020,4578,9.056145499,9.197080804,9.280377667,,
Eastern,Oil (palm),9/1/2020,4940,9.254685887,9.27182486,9.280377667,,
Eastern,Oil (palm),10/1/2020,13360,9.280411027,9.280388787,9.280377667,,
Eastern,Oil (palm),11/1/2020,11984,9.280377667,9.280377667,9.280377667,,
Eastern,Oil (palm),12/1/2020,12721,9.280377667,9.280377667,9.280411027,,
Eastern,Oil (palm),1/1/2021,7762,9.280377667,9.280377667,9.280411027,,
Eastern,Oil (palm),2/1/2021,15238,9.280377667,9.280388787,9.331761227,,
Eastern,Oil (palm),3/1/2021,6528,9.280377667,9.280399907,9.331789568,,
Eastern,Oil (palm),4/1/2021,12917,9.280411027,9.29752776,9.331761227,,
Eastern,Oil (palm),5/1/2021,6107,9.280411027,9.314653941,9.331789568,,
Eastern,Oil (palm),6/1/2021,13524,9.331761227,9.331770674,9.376271691,,
Eastern,Oil (palm),7/1/2021,7333,9.331789568,9.331780121,9.376271691,,
Eastern,Oil (palm),8/1/2021,4722,9.331761227,9.346607495,9.465310444,,
Eastern,Oil (palm),9/1/2021,7407,9.331789568,9.361444317,9.46529262,,
Eastern,Oil (palm),10/1/2021,12917,9.376271691,9.405951276,9.46529262,,
Eastern,Oil (palm),11/1/2021,4380,9.376271691,9.435624918,9.46529262,,
Eastern,Oil (palm),12/1/2021,11734,9.465310444,9.465298561,9.46529262,,
Eastern,Oil (palm),1/1/2022,4439,9.46529262,9.46529262,9.46529262,,
Eastern,Oil (palm),2/1/2022,8000,9.46529262,9.46529262,9.543814643,,
Eastern,Oil (palm),3/1/2022,13690,9.46529262,9.46529262,9.714090701,,
Eastern,Oil (palm),4/1/2022,8000,9.46529262,9.491466628,9.635755913,,
Eastern,Oil (palm),5/1/2022,4503,9.46529262,9.574399321,9.780980083,,
Eastern,Oil (palm),6/1/2022,7407,9.543814643,9.631220419,9.7360905,,
Eastern,Oil (palm),7/1/2022,4444,9.714090701,9.710275566,9.780976821,,
Eastern,Oil (palm),8/1/2022,13155,9.635755913,9.717608832,9.841747298,,
Eastern,Oil (palm),9/1/2022,4327,9.780980083,9.766015801,10.13690113,,
